馬,騎手,馬番,オッズ,体重,体重変化,性,齢,斤量,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
アーバンシック,ルメール,13,3.7,510,0,牡,3,57,2,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ヘデントール,戸崎圭太,16,7.1,472,-8,牡,3,57,4,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
アドマイヤテラ,武豊,17,23.6,482,4,牡,3,57,7,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ショウナンラプンタ,鮫島克駿,11,23.6,536,6,牡,3,57,6,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ビザンチンドリーム,シュタル,7,41.5,456,-2,牡,3,57,9,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ダノンデサイル,横山典弘,4,2.9,522,18,牡,3,57,1,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
シュバルツクーゲル,松山弘平,12,99.1,486,-2,牡,3,57,14,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ハヤテノフクノスケ,岩田望来,5,120.2,516,0,牡,3,57,15,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
エコロヴァルツ,岩田康誠,15,68.3,488,4,牡,3,57,12,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
アレグロブリランテ,横山和生,18,291.1,466,0,牡,3,57,18,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ウエストナウ,西村淳也,8,55.2,488,-4,牡,3,57,11,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ミスタージーティー,坂井瑠星,6,79.5,474,2,牡,3,57,13,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
メリオーレム,藤岡佑介,14,51.5,488,2,牡,3,57,10,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
コスモキュランダ,Ｍ．デム,9,6,512,8,牡,3,57,3,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ピースワンデュック,柴田善臣,1,26.2,452,-2,牡,3,57,8,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
メイショウタバル,浜中俊,10,9.6,502,6,牡,3,57,5,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
アスクカムオンモア,北村友一,3,184.1,484,2,牡,3,57,16,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
ノーブルスカイ,池添謙一,2,253.6,464,-2,牡,3,57,17,第85回菊花賞(GI),2024年10月20日,5回京都6日目,3歳オープン,芝,3000,右,良,晴,7,京都
